age,bmi,children
False,False,False
False,False,True
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,True
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,False
False,False,True
False,False,False
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,True
False,False,False
False,False,False
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,True
False,False,False
False,False,True
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,True
False,False,True
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,True
False,False,False
False,False,False
False,False,True
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,True
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
False,False,False
